,question_text,option_a,option_b,option_c,option_d,correct_option,
,Which engine is mostly used in modern two-wheelers?,Two stroke,Four stroke,Diesel,Electric,B,
,What is the function of engine oil?,Cooling tyres,Lubrication,Cleaning fuel,Increase speed,B,
,Which part charges the battery?,Starter motor,Alternator,Spark plug,Carburetor,B,
,Which brake is commonly used in scooters?,Drum brake,Disc brake,Air brake,Hydraulic brake,B,
,What does clutch do?,Increase speed,Change gear smoothly,Stop engine,Reduce noise,B,
,Which fuel is used in petrol engine?,Diesel,Petrol,CNG,LPG,B,
,Which system controls direction?,Brake system,Steering system,Fuel system,Cooling system,B,
,What is the function of radiator?,Lubrication,Cooling engine,Charging battery,Ignition,B,
,Which light is used at night?,Indicator,Headlight,Tail light,Parking light,B,
,What absorbs road shocks?,Brake,Suspension,Engine,Chain,B,
,,,,,,,
,?????? ??????? ?????? ??? ??? ?? ???? ????? ???? ???,??-???????,???-???????,?????,??????????,B,
,???? ??? ?? ????? ????? ???? ???,???? ???? ????,????? ?? ????,???? ??? ????,??? ??????,B,
,????? ?? ????? ??? ???? ???,???????? ????,?????????,??????? ????,??????????,B,
,?????? ??? ??? ?? ????? ??????? ???,???? ?????,????? ?????,??? ?????,??????????,B,
,???? ?? ????? ???? ???,??? ??????,???? ?????,???? ??? ????,??? ?? ????,B,
,??????? ???? ??? ??? ?? ???? ????? ???? ???,?????,???????,??????,??????,B,
,???? ???????? ??? ???? ???,????? ??????,????????? ??????,???? ??????,?????? ??????,B,
,??????? ?? ????? ???? ???,??????,???? ???? ????,????? ?????,???????,B,
,??? ??? ??? ?? ???? ????? ???? ???,????????,???????,???????,???????? ????,B,
,???? ??? ????? ???,?????,????????,????,???,B,
,,,,,,,
,?????? ??? ????? ???????? ??? ?????? ??????? ????,??-???????,???-???????,?????,?????????,B,
,?????? ??????? ??? ???,?????? ?????? ???,????? ?????,???????? ????????,??? ???????,B,
,???????? ????? ??? ??????,????????? ????,??????????,??????? ?????,??????????,B,
,???????? ??? ????? ??????? ????,????? ?????,????? ?????,????? ?????,??????????,B,
,??????? ??? ???,??? ???????,?????? ????????,?????? ????,???? ?????,B,
,??????? ??????? ??? ???????? ??????? ????,?????,???????,??????,??????,B,
,??? ?????????? ??? ??????,????? ???????,?????????? ???????,???????? ???????,????? ???????,B,
,??????????? ??? ???,??????????,?????? ?????? ???,???????? ?????,??????,B,
,???? ??? ??? ??????? ????,?????????,???????,???????,??????? ????,B,
,??????? ?????? ???? ??? ??????,?????,????????,??????,????,B,
